Thread 0: 0.000014 s, 0.011983 GiB/s 
Thread 1: 0.000014 s, 0.011982 GiB/s 
Thread 2: 0.000014 s, 0.011982 GiB/s 
Thread 3: 0.000014 s, 0.011983 GiB/s 
Thread 4: 0.000014 s, 0.011982 GiB/s 
Thread 5: 0.000014 s, 0.011982 GiB/s 
Thread 6: 0.000014 s, 0.011983 GiB/s 
Thread 7: 0.000014 s, 0.011982 GiB/s 
Thread 8: 0.000014 s, 0.011982 GiB/s 
Thread 9: 0.000014 s, 0.011982 GiB/s 
Thread 10: 0.000014 s, 0.011982 GiB/s 
Thread 11: 0.000014 s, 0.011982 GiB/s 
Thread 12: 0.000014 s, 0.011982 GiB/s 
Thread 13: 0.000014 s, 0.011982 GiB/s 
Thread 14: 0.000014 s, 0.011982 GiB/s 
Thread 15: 0.000014 s, 0.011982 GiB/s 
Thread 16: 0.000014 s, 0.011982 GiB/s 
Thread 17: 0.000014 s, 0.011983 GiB/s 
Thread 18: 0.000014 s, 0.011983 GiB/s 
Thread 19: 0.000014 s, 0.011982 GiB/s 
Thread 20: 0.000014 s, 0.011982 GiB/s 
Thread 21: 0.000014 s, 0.011982 GiB/s 
Thread 22: 0.000014 s, 0.011983 GiB/s 
Thread 23: 0.000014 s, 0.011982 GiB/s 
Thread 24: 0.000014 s, 0.011982 GiB/s 
Thread 25: 0.000014 s, 0.011983 GiB/s 
Thread 26: 0.000014 s, 0.011982 GiB/s 
Thread 27: 0.000014 s, 0.011983 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:5120,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):320.000000,AvgTestRunTime(s):0.000014,CumulativeMemoryBandwidth(GiB/s):0.335449,TotalRunTime(s):0.142149,WSS(MiB):0.004883,Verification:SUCCESS,
Thread 0: 0.000016 s, 0.052265 GiB/s 
Thread 1: 0.000016 s, 0.052751 GiB/s 
Thread 2: 0.000016 s, 0.052256 GiB/s 
Thread 3: 0.000016 s, 0.052256 GiB/s 
Thread 4: 0.000016 s, 0.052257 GiB/s 
Thread 5: 0.000016 s, 0.052256 GiB/s 
Thread 6: 0.000016 s, 0.052265 GiB/s 
Thread 7: 0.000016 s, 0.052257 GiB/s 
Thread 8: 0.000016 s, 0.052751 GiB/s 
Thread 9: 0.000016 s, 0.052256 GiB/s 
Thread 10: 0.000016 s, 0.052751 GiB/s 
Thread 11: 0.000016 s, 0.052751 GiB/s 
Thread 12: 0.000016 s, 0.052257 GiB/s 
Thread 13: 0.000016 s, 0.052257 GiB/s 
Thread 14: 0.000016 s, 0.052257 GiB/s 
Thread 15: 0.000016 s, 0.052750 GiB/s 
Thread 16: 0.000016 s, 0.052256 GiB/s 
Thread 17: 0.000016 s, 0.052258 GiB/s 
Thread 18: 0.000016 s, 0.052256 GiB/s 
Thread 19: 0.000016 s, 0.052256 GiB/s 
Thread 20: 0.000016 s, 0.052257 GiB/s 
