Thread 0: 0.000008 s, 0.015136 GiB/s 
Thread 1: 0.000008 s, 0.015135 GiB/s 
Thread 2: 0.000008 s, 0.015136 GiB/s 
Thread 3: 0.000008 s, 0.015136 GiB/s 
Thread 4: 0.000008 s, 0.015136 GiB/s 
Thread 5: 0.000008 s, 0.015135 GiB/s 
Thread 6: 0.000008 s, 0.015136 GiB/s 
Thread 7: 0.000008 s, 0.015135 GiB/s 
Thread 8: 0.000008 s, 0.015138 GiB/s 
Thread 9: 0.000008 s, 0.015136 GiB/s 
Thread 10: 0.000008 s, 0.015135 GiB/s 
Thread 11: 0.000008 s, 0.015138 GiB/s 
Thread 12: 0.000008 s, 0.015135 GiB/s 
Thread 13: 0.000008 s, 0.015138 GiB/s 
Thread 14: 0.000008 s, 0.015136 GiB/s 
Thread 15: 0.000008 s, 0.015135 GiB/s 
Thread 16: 0.000008 s, 0.015138 GiB/s 
Thread 17: 0.000008 s, 0.015138 GiB/s 
Thread 18: 0.000008 s, 0.015136 GiB/s 
Thread 19: 0.000008 s, 0.015135 GiB/s 
Thread 20: 0.000008 s, 0.015135 GiB/s 
Thread 21: 0.000008 s, 0.015138 GiB/s 
Thread 22: 0.000008 s, 0.015135 GiB/s 
Thread 23: 0.000008 s, 0.015139 GiB/s 
Thread 24: 0.000008 s, 0.015137 GiB/s 
Thread 25: 0.000008 s, 0.015135 GiB/s 
Thread 26: 0.000008 s, 0.015135 GiB/s 
Thread 27: 0.000008 s, 0.015135 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:5120,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):6.000000,AvgTestRunTime(s):0.000008,CumulativeMemoryBandwidth(GiB/s):0.423662,TotalRunTime(s):0.075972,WSS(MiB):0.003296,Verification:SUCCESS,
Thread 0: 0.000015 s, 0.048427 GiB/s 
Thread 1: 0.000015 s, 0.048426 GiB/s 
Thread 2: 0.000015 s, 0.048426 GiB/s 
Thread 3: 0.000015 s, 0.048424 GiB/s 
Thread 4: 0.000015 s, 0.048423 GiB/s 
Thread 5: 0.000015 s, 0.048424 GiB/s 
Thread 6: 0.000015 s, 0.048423 GiB/s 
Thread 7: 0.000015 s, 0.048425 GiB/s 
Thread 8: 0.000015 s, 0.048426 GiB/s 
Thread 9: 0.000015 s, 0.048423 GiB/s 
Thread 10: 0.000015 s, 0.048424 GiB/s 
Thread 11: 0.000015 s, 0.048422 GiB/s 
Thread 12: 0.000015 s, 0.048422 GiB/s 
Thread 13: 0.000015 s, 0.048422 GiB/s 
Thread 14: 0.000015 s, 0.048423 GiB/s 
Thread 15: 0.000015 s, 0.048422 GiB/s 
Thread 16: 0.000015 s, 0.048422 GiB/s 
Thread 17: 0.000015 s, 0.048426 GiB/s 
Thread 18: 0.000014 s, 0.048931 GiB/s 
Thread 19: 0.000015 s, 0.048423 GiB/s 
Thread 20: 0.000015 s, 0.048426 GiB/s 
Thread 21: 0.000014 s, 0.048932 GiB/s 
Thread 22: 0.000015 s, 0.048422 GiB/s 
Thread 23: 0.000015 s, 0.048423 GiB/s 
Thread 24: 0.000015 s, 0.048425 GiB/s 
Thread 25: 0.000015 s, 0.048425 GiB/s 
Thread 26: 0.000015 s, 0.048426 GiB/s 
Thread 27: 0.000015 s, 0.048422 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:25600,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):11.000000,AvgTestRunTime(s):0.000015,CumulativeMemoryBandwidth(GiB/s):1.342119,TotalRunTime(s):0.147777,WSS(MiB):0.020309,Verification:SUCCESS,
Thread 0: 0.000010 s, 0.145334 GiB/s 
Thread 1: 0.000010 s, 0.145337 GiB/s 
Thread 2: 0.000010 s, 0.145337 GiB/s 
Thread 3: 0.000010 s, 0.145328 GiB/s 
Thread 4: 0.000010 s, 0.145331 GiB/s 
Thread 5: 0.000010 s, 0.145332 GiB/s 
Thread 6: 0.000010 s, 0.145339 GiB/s 
Thread 7: 0.000010 s, 0.145339 GiB/s 
Thread 8: 0.000010 s, 0.145335 GiB/s 
Thread 9: 0.000010 s, 0.145337 GiB/s 
Thread 10: 0.000010 s, 0.145330 GiB/s 
Thread 11: 0.000010 s, 0.145326 GiB/s 
Thread 12: 0.000010 s, 0.145336 GiB/s 
Thread 13: 0.000010 s, 0.145333 GiB/s 
Thread 14: 0.000010 s, 0.145335 GiB/s 
Thread 15: 0.000010 s, 0.145337 GiB/s 
Thread 16: 0.000010 s, 0.145335 GiB/s 
Thread 17: 0.000010 s, 0.145335 GiB/s 
Thread 18: 0.000010 s, 0.145332 GiB/s 
Thread 19: 0.000010 s, 0.145336 GiB/s 
Thread 20: 0.000010 s, 0.145341 GiB/s 
Thread 21: 0.000010 s, 0.145331 GiB/s 
Thread 22: 0.000010 s, 0.145326 GiB/s 
Thread 23: 0.000010 s, 0.145328 GiB/s 
Thread 24: 0.000010 s, 0.145336 GiB/s 
Thread 25: 0.000010 s, 0.145336 GiB/s 
Thread 26: 0.000010 s, 0.145335 GiB/s 
Thread 27: 0.000010 s, 0.145331 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:46080,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):14.000000,AvgTestRunTime(s):0.000010,CumulativeMemoryBandwidth(GiB/s):4.022036,TotalRunTime(s):0.101662,WSS(MiB):0.041870,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.169654 GiB/s 
Thread 1: 0.000013 s, 0.169650 GiB/s 
Thread 2: 0.000013 s, 0.169652 GiB/s 
Thread 3: 0.000013 s, 0.169653 GiB/s 
Thread 4: 0.000013 s, 0.169650 GiB/s 
Thread 5: 0.000013 s, 0.169652 GiB/s 
Thread 6: 0.000013 s, 0.169654 GiB/s 
Thread 7: 0.000013 s, 0.169650 GiB/s 
Thread 8: 0.000013 s, 0.169653 GiB/s 
Thread 9: 0.000013 s, 0.169653 GiB/s 
Thread 10: 0.000013 s, 0.169653 GiB/s 
Thread 11: 0.000013 s, 0.169649 GiB/s 
Thread 12: 0.000013 s, 0.169650 GiB/s 
