Thread 0: 0.000000 s, 0.585762 GiB/s 
Thread 1: 0.000000 s, 0.581407 GiB/s 
Thread 2: 0.000000 s, 0.576928 GiB/s 
Thread 3: 0.000000 s, 0.581519 GiB/s 
Thread 4: 0.000000 s, 0.579242 GiB/s 
Thread 5: 0.000000 s, 0.579539 GiB/s 
Thread 6: 0.000000 s, 0.580707 GiB/s 
Thread 7: 0.000000 s, 0.578816 GiB/s 
Thread 8: 0.000000 s, 0.577089 GiB/s 
Thread 9: 0.000000 s, 0.578449 GiB/s 
Thread 10: 0.000000 s, 0.579614 GiB/s 
Thread 11: 0.000000 s, 0.581329 GiB/s 
Thread 12: 0.000000 s, 0.576408 GiB/s 
Thread 13: 0.000000 s, 0.579850 GiB/s 
Thread 14: 0.000000 s, 0.579161 GiB/s 
Thread 15: 0.000000 s, 0.578616 GiB/s 
Thread 16: 0.000000 s, 0.579991 GiB/s 
Thread 17: 0.000000 s, 0.580336 GiB/s 
Thread 18: 0.000000 s, 0.580115 GiB/s 
Thread 19: 0.000000 s, 0.577515 GiB/s 
Thread 20: 0.000000 s, 0.576477 GiB/s 
Thread 21: 0.000000 s, 0.580229 GiB/s 
Thread 22: 0.000000 s, 0.579623 GiB/s 
Thread 23: 0.000000 s, 0.580693 GiB/s 
Thread 24: 0.000000 s, 0.576892 GiB/s 
Thread 25: 0.000000 s, 0.579172 GiB/s 
Thread 26: 0.000000 s, 0.581388 GiB/s 
Thread 27: 0.000000 s, 0.578924 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:5120,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):2.000000,AvgTestRunTime(s):0.000000,CumulativeMemoryBandwidth(GiB/s):16.016474,TotalRunTime(s):0.002084,WSS(MiB):0.003418,
Thread 0: 0.000006 s, 1.304534 GiB/s 
Thread 1: 0.000006 s, 1.242298 GiB/s 
Thread 2: 0.000006 s, 1.250036 GiB/s 
Thread 3: 0.000006 s, 1.248710 GiB/s 
Thread 4: 0.000006 s, 1.249931 GiB/s 
Thread 5: 0.000006 s, 1.248856 GiB/s 
Thread 6: 0.000006 s, 1.249902 GiB/s 
Thread 7: 0.000006 s, 1.249689 GiB/s 
Thread 8: 0.000006 s, 1.248999 GiB/s 
Thread 9: 0.000006 s, 1.249694 GiB/s 
Thread 10: 0.000006 s, 1.249817 GiB/s 
Thread 11: 0.000006 s, 1.246867 GiB/s 
Thread 12: 0.000006 s, 1.250463 GiB/s 
Thread 13: 0.000006 s, 1.249181 GiB/s 
Thread 14: 0.000006 s, 1.249828 GiB/s 
Thread 15: 0.000006 s, 1.248857 GiB/s 
Thread 16: 0.000006 s, 1.249848 GiB/s 
Thread 17: 0.000006 s, 1.246824 GiB/s 
Thread 18: 0.000006 s, 1.233436 GiB/s 
Thread 19: 0.000006 s, 1.250537 GiB/s 
Thread 20: 0.000006 s, 1.250903 GiB/s 
Thread 21: 0.000006 s, 1.249956 GiB/s 
Thread 22: 0.000006 s, 1.267060 GiB/s 
Thread 23: 0.000006 s, 1.248743 GiB/s 
Thread 24: 0.000006 s, 1.250472 GiB/s 
Thread 25: 0.000006 s, 1.249057 GiB/s 
Thread 26: 0.000006 s, 1.249711 GiB/s 
Thread 27: 0.000006 s, 1.249611 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:267264,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):8.000000,AvgTestRunTime(s):0.000007,CumulativeMemoryBandwidth(GiB/s):30.879728,TotalRunTime(s):0.069179,WSS(MiB):0.218750,
Thread 0: 0.000011 s, 1.407257 GiB/s 
Thread 1: 0.000011 s, 1.412310 GiB/s 
Thread 2: 0.000011 s, 1.408913 GiB/s 
Thread 3: 0.000011 s, 1.403620 GiB/s 
Thread 4: 0.000011 s, 1.403637 GiB/s 
Thread 5: 0.000013 s, 1.186854 GiB/s 
Thread 6: 0.000011 s, 1.404633 GiB/s 
Thread 7: 0.000011 s, 1.398979 GiB/s 
Thread 8: 0.000011 s, 1.406293 GiB/s 
Thread 9: 0.000011 s, 1.399827 GiB/s 
Thread 10: 0.000011 s, 1.405430 GiB/s 
Thread 11: 0.000011 s, 1.400208 GiB/s 
Thread 12: 0.000011 s, 1.405502 GiB/s 
Thread 13: 0.000011 s, 1.406107 GiB/s 
Thread 14: 0.000011 s, 1.404970 GiB/s 
Thread 15: 0.000012 s, 1.282385 GiB/s 
Thread 16: 0.000011 s, 1.406911 GiB/s 
Thread 17: 0.000011 s, 1.403594 GiB/s 
Thread 18: 0.000011 s, 1.405060 GiB/s 
Thread 19: 0.000011 s, 1.404994 GiB/s 
Thread 20: 0.000011 s, 1.408168 GiB/s 
Thread 21: 0.000011 s, 1.403954 GiB/s 
Thread 22: 0.000011 s, 1.407414 GiB/s 
Thread 23: 0.000011 s, 1.413494 GiB/s 
Thread 24: 0.000011 s, 1.413149 GiB/s 
Thread 25: 0.000011 s, 1.412258 GiB/s 
Thread 26: 0.000011 s, 1.411633 GiB/s 
Thread 27: 0.000011 s, 1.412986 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:529408,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):10.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):31.963003,TotalRunTime(s):0.130536,WSS(MiB):0.427246,
Thread 0: 0.000018 s, 1.461187 GiB/s 
