Thread 0: 0.000000 s, 0.746760 GiB/s 
Thread 1: 0.000000 s, 0.827758 GiB/s 
Thread 2: 0.000000 s, 0.592014 GiB/s 
Thread 3: 0.000000 s, 0.410727 GiB/s 
Thread 4: 0.000000 s, 0.418731 GiB/s 
Thread 5: 0.000000 s, 0.593509 GiB/s 
Thread 6: 0.000000 s, 0.410792 GiB/s 
Thread 7: 0.000000 s, 0.591454 GiB/s 
Thread 8: 0.000000 s, 0.351440 GiB/s 
Thread 9: 0.000000 s, 0.284961 GiB/s 
Thread 10: 0.000001 s, 0.172709 GiB/s 
Thread 11: 0.000000 s, 0.290800 GiB/s 
Thread 12: 0.000001 s, 0.173141 GiB/s 
Thread 13: 0.000001 s, 0.173610 GiB/s 
Thread 14: 0.000001 s, 0.172700 GiB/s 
Thread 15: 0.000001 s, 0.173231 GiB/s 
Thread 16: 0.000001 s, 0.210246 GiB/s 
Thread 17: 0.000001 s, 0.203891 GiB/s 
Thread 18: 0.000001 s, 0.196645 GiB/s 
Thread 19: 0.000001 s, 0.202083 GiB/s 
Thread 20: 0.000001 s, 0.195514 GiB/s 
Thread 21: 0.000001 s, 0.192551 GiB/s 
Thread 22: 0.000001 s, 0.195047 GiB/s 
Thread 23: 0.000001 s, 0.193207 GiB/s 
Thread 24: 0.000000 s, 0.287849 GiB/s 
Thread 25: 0.000000 s, 0.283231 GiB/s 
Thread 26: 0.000000 s, 2.586155 GiB/s 
Thread 27: 0.000000 s, 2.582284 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_FS_T25pt,wss:5120,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):2.000000,AvgTestRunTime(s):0.000001,CumulativeMemoryBandwidth(GiB/s):4.812320,TotalRunTime(s):0.006936,WSS(MiB):0.003418,
Thread 0: 0.000001 s, 5.980786 GiB/s 
Thread 1: 0.000001 s, 5.846509 GiB/s 
Thread 2: 0.000001 s, 6.848630 GiB/s 
Thread 3: 0.000001 s, 6.705887 GiB/s 
Thread 4: 0.000001 s, 6.826061 GiB/s 
Thread 5: 0.000001 s, 6.731856 GiB/s 
Thread 6: 0.000001 s, 6.708484 GiB/s 
Thread 7: 0.000001 s, 6.790997 GiB/s 
Thread 8: 0.000001 s, 6.123395 GiB/s 
Thread 9: 0.000001 s, 7.584746 GiB/s 
Thread 10: 0.000001 s, 5.197339 GiB/s 
Thread 11: 0.000001 s, 6.659980 GiB/s 
Thread 12: 0.000001 s, 5.187384 GiB/s 
Thread 13: 0.000001 s, 6.628095 GiB/s 
Thread 14: 0.000001 s, 5.207307 GiB/s 
Thread 15: 0.000001 s, 5.175373 GiB/s 
Thread 16: 0.000002 s, 4.824466 GiB/s 
Thread 17: 0.000002 s, 4.778423 GiB/s 
Thread 18: 0.000002 s, 4.875536 GiB/s 
Thread 19: 0.000002 s, 4.879818 GiB/s 
Thread 20: 0.000002 s, 5.040036 GiB/s 
Thread 21: 0.000002 s, 4.895959 GiB/s 
Thread 22: 0.000002 s, 5.034509 GiB/s 
Thread 23: 0.000002 s, 4.872922 GiB/s 
Thread 24: 0.000001 s, 5.556952 GiB/s 
Thread 25: 0.000001 s, 5.885083 GiB/s 
Thread 26: 0.000001 s, 5.947723 GiB/s 
Thread 27: 0.000001 s, 5.967400 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_FS_T25pt,wss:267264,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):8.000000,AvgTestRunTime(s):0.000002,CumulativeMemoryBandwidth(GiB/s):133.248070,TotalRunTime(s):0.016032,WSS(MiB):0.218750,
Thread 0: 0.000001 s, 11.865600 GiB/s 
Thread 1: 0.000001 s, 12.193883 GiB/s 
Thread 2: 0.000001 s, 14.849183 GiB/s 
Thread 3: 0.000001 s, 14.982086 GiB/s 
Thread 4: 0.000001 s, 14.933355 GiB/s 
Thread 5: 0.000001 s, 14.758282 GiB/s 
Thread 6: 0.000001 s, 14.746065 GiB/s 
Thread 7: 0.000001 s, 14.990909 GiB/s 
Thread 8: 0.000001 s, 14.484418 GiB/s 
Thread 9: 0.000001 s, 14.878758 GiB/s 
Thread 10: 0.000001 s, 10.960377 GiB/s 
Thread 11: 0.000001 s, 11.817955 GiB/s 
Thread 12: 0.000001 s, 10.938495 GiB/s 
Thread 13: 0.000001 s, 11.844184 GiB/s 
Thread 14: 0.000001 s, 10.690072 GiB/s 
Thread 15: 0.000001 s, 11.809575 GiB/s 
Thread 16: 0.000002 s, 9.634495 GiB/s 
Thread 17: 0.000001 s, 10.008907 GiB/s 
Thread 18: 0.000001 s, 10.626320 GiB/s 
Thread 19: 0.000001 s, 10.671196 GiB/s 
Thread 20: 0.000001 s, 10.588378 GiB/s 
Thread 21: 0.000001 s, 10.750573 GiB/s 
Thread 22: 0.000001 s, 10.594556 GiB/s 
Thread 23: 0.000001 s, 10.534747 GiB/s 
Thread 24: 0.000001 s, 11.177920 GiB/s 
Thread 25: 0.000001 s, 11.316299 GiB/s 
Thread 26: 0.000001 s, 12.688971 GiB/s 
Thread 27: 0.000001 s, 12.485781 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_FS_T25pt,wss:529408,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):10.000000,AvgTestRunTime(s):0.000002,CumulativeMemoryBandwidth(GiB/s):268.627391,TotalRunTime(s):0.015532,WSS(MiB):0.427246,
