Thread 0: 0.000000 s, 2.184464 GiB/s 
Thread 1: 0.000000 s, 2.212595 GiB/s 
Thread 2: 0.000000 s, 2.207698 GiB/s 
Thread 3: 0.000000 s, 2.204945 GiB/s 
Thread 4: 0.000000 s, 2.203751 GiB/s 
Thread 5: 0.000000 s, 2.214276 GiB/s 
Thread 6: 0.000000 s, 2.203446 GiB/s 
Thread 7: 0.000000 s, 2.200253 GiB/s 
Thread 8: 0.000000 s, 2.202375 GiB/s 
Thread 9: 0.000000 s, 2.195318 GiB/s 
Thread 10: 0.000000 s, 2.203968 GiB/s 
Thread 11: 0.000000 s, 2.205484 GiB/s 
Thread 12: 0.000000 s, 2.211844 GiB/s 
Thread 13: 0.000000 s, 2.214637 GiB/s 
Thread 14: 0.000000 s, 2.202481 GiB/s 
Thread 15: 0.000000 s, 2.212870 GiB/s 
Thread 16: 0.000000 s, 2.201505 GiB/s 
Thread 17: 0.000000 s, 2.211536 GiB/s 
Thread 18: 0.000000 s, 2.208929 GiB/s 
Thread 19: 0.000000 s, 2.216355 GiB/s 
Thread 20: 0.000000 s, 2.223084 GiB/s 
Thread 21: 0.000000 s, 2.215041 GiB/s 
Thread 22: 0.000000 s, 2.213946 GiB/s 
Thread 23: 0.000000 s, 2.204298 GiB/s 
Thread 24: 0.000000 s, 2.213729 GiB/s 
Thread 25: 0.000000 s, 2.197265 GiB/s 
Thread 26: 0.000000 s, 2.190651 GiB/s 
Thread 27: 0.000000 s, 2.182716 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_T7pt,wss:5120,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):2.000000,AvgTestRunTime(s):0.000000,CumulativeMemoryBandwidth(GiB/s):59.701493,TotalRunTime(s):0.000559,WSS(MiB):0.003418,
Thread 0: 0.000001 s, 5.338438 GiB/s 
Thread 1: 0.000002 s, 4.827586 GiB/s 
Thread 2: 0.000002 s, 4.838403 GiB/s 
Thread 3: 0.000002 s, 4.953704 GiB/s 
Thread 4: 0.000002 s, 4.950690 GiB/s 
Thread 5: 0.000002 s, 4.904467 GiB/s 
Thread 6: 0.000002 s, 4.900445 GiB/s 
Thread 7: 0.000002 s, 4.951490 GiB/s 
Thread 8: 0.000002 s, 4.840030 GiB/s 
Thread 9: 0.000002 s, 4.903069 GiB/s 
Thread 10: 0.000002 s, 4.886962 GiB/s 
Thread 11: 0.000002 s, 4.909224 GiB/s 
Thread 12: 0.000002 s, 4.862798 GiB/s 
Thread 13: 0.000002 s, 4.836195 GiB/s 
Thread 14: 0.000002 s, 4.884257 GiB/s 
Thread 15: 0.000002 s, 4.911142 GiB/s 
Thread 16: 0.000002 s, 4.914360 GiB/s 
Thread 17: 0.000002 s, 4.876025 GiB/s 
Thread 18: 0.000002 s, 4.821259 GiB/s 
Thread 19: 0.000002 s, 4.890730 GiB/s 
Thread 20: 0.000002 s, 4.871063 GiB/s 
Thread 21: 0.000002 s, 4.871053 GiB/s 
Thread 22: 0.000002 s, 4.875621 GiB/s 
Thread 23: 0.000002 s, 4.906465 GiB/s 
Thread 24: 0.000002 s, 4.905909 GiB/s 
Thread 25: 0.000002 s, 4.883871 GiB/s 
Thread 26: 0.000002 s, 4.891717 GiB/s 
Thread 27: 0.000002 s, 4.874416 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_T7pt,wss:267264,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):8.000000,AvgTestRunTime(s):0.000002,CumulativeMemoryBandwidth(GiB/s):134.769268,TotalRunTime(s):0.015851,WSS(MiB):0.218750,
Thread 0: 0.000003 s, 5.766168 GiB/s 
Thread 1: 0.000003 s, 5.687298 GiB/s 
Thread 2: 0.000003 s, 5.638702 GiB/s 
Thread 3: 0.000003 s, 5.692128 GiB/s 
Thread 4: 0.000003 s, 5.702558 GiB/s 
Thread 5: 0.000003 s, 5.786369 GiB/s 
Thread 6: 0.000003 s, 5.786593 GiB/s 
Thread 7: 0.000003 s, 5.744968 GiB/s 
Thread 8: 0.000003 s, 5.763741 GiB/s 
Thread 9: 0.000003 s, 5.749325 GiB/s 
Thread 10: 0.000003 s, 5.705261 GiB/s 
Thread 11: 0.000003 s, 5.871463 GiB/s 
Thread 12: 0.000003 s, 5.892372 GiB/s 
Thread 13: 0.000003 s, 5.814978 GiB/s 
Thread 14: 0.000003 s, 5.819123 GiB/s 
Thread 15: 0.000003 s, 5.766801 GiB/s 
Thread 16: 0.000003 s, 5.721913 GiB/s 
Thread 17: 0.000003 s, 5.734773 GiB/s 
Thread 18: 0.000003 s, 5.704573 GiB/s 
Thread 19: 0.000003 s, 5.750660 GiB/s 
Thread 20: 0.000003 s, 5.732499 GiB/s 
Thread 21: 0.000003 s, 5.765652 GiB/s 
Thread 22: 0.000003 s, 5.738999 GiB/s 
Thread 23: 0.000003 s, 5.792274 GiB/s 
Thread 24: 0.000003 s, 5.760025 GiB/s 
Thread 25: 0.000003 s, 5.741025 GiB/s 
Thread 26: 0.000003 s, 5.741383 GiB/s 
Thread 27: 0.000003 s, 5.796381 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_T7pt,wss:529408,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):10.000000,AvgTestRunTime(s):0.000003,CumulativeMemoryBandwidth(GiB/s):157.796974,TotalRunTime(s):0.026441,WSS(MiB):0.427246,
Thread 0: 0.000004 s, 6.446737 GiB/s 
Thread 1: 0.000004 s, 6.374002 GiB/s 
Thread 2: 0.000004 s, 6.378266 GiB/s 
Thread 3: 0.000004 s, 6.263677 GiB/s 
Thread 4: 0.000004 s, 6.298391 GiB/s 
Thread 5: 0.000004 s, 6.317535 GiB/s 
Thread 6: 0.000004 s, 6.327552 GiB/s 
Thread 7: 0.000004 s, 6.429366 GiB/s 
Thread 8: 0.000004 s, 6.424461 GiB/s 
Thread 9: 0.000004 s, 6.319716 GiB/s 
Thread 10: 0.000004 s, 6.317768 GiB/s 
Thread 11: 0.000004 s, 6.339288 GiB/s 
Thread 12: 0.000004 s, 6.322932 GiB/s 
Thread 13: 0.000004 s, 6.316464 GiB/s 
Thread 14: 0.000004 s, 6.309005 GiB/s 
Thread 15: 0.000004 s, 6.345336 GiB/s 
Thread 16: 0.000004 s, 6.344493 GiB/s 
Thread 17: 0.000004 s, 6.356314 GiB/s 
Thread 18: 0.000004 s, 6.347149 GiB/s 
Thread 19: 0.000004 s, 6.311196 GiB/s 
Thread 20: 0.000004 s, 6.333932 GiB/s 
Thread 21: 0.000004 s, 6.341939 GiB/s 
Thread 22: 0.000004 s, 6.349736 GiB/s 
Thread 23: 0.000004 s, 6.354892 GiB/s 
Thread 24: 0.000004 s, 6.357180 GiB/s 
Thread 25: 0.000004 s, 6.353153 GiB/s 
Thread 26: 0.000004 s, 6.346884 GiB/s 
Thread 27: 0.000004 s, 6.346603 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_T7pt,wss:791552,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):12.000000,AvgTestRunTime(s):0.000004,CumulativeMemoryBandwidth(GiB/s):169.144545,TotalRunTime(s):0.042625,WSS(MiB):0.738281,
Thread 0: 0.000005 s, 7.038143 GiB/s 
Thread 1: 0.000005 s, 6.893783 GiB/s 
Thread 2: 0.000005 s, 6.893375 GiB/s 
Thread 3: 0.000005 s, 6.949487 GiB/s 
Thread 4: 0.000005 s, 6.950580 GiB/s 
Thread 5: 0.000005 s, 6.943057 GiB/s 
Thread 6: 0.000005 s, 6.942585 GiB/s 
Thread 7: 0.000005 s, 6.968113 GiB/s 
Thread 8: 0.000005 s, 6.946522 GiB/s 
Thread 9: 0.000005 s, 6.947417 GiB/s 
Thread 10: 0.000005 s, 6.947918 GiB/s 
